2. Diameter [km],12. Measured rim to floor depth [km]
1.11,0.04
0.63,0.07
3.58,0.08
3.47,0.17
5.71,0.19
4.82,0.19
4.11,0.23
38.98,0.23
5.25,0.23
3.37,0.24
6.69,0.25
34.51,0.25
3.42,0.26
2.34,0.26
1.76,0.27
12.01,0.27
9.54,0.27
2.48,0.27
4.07,0.28
17.60,0.29
2.50,0.29
3.56,0.29
1.80,0.30
10.48,0.30
31.63,0.30
12.36,0.30
84.69,0.30
1.80,0.31
1.84,0.31
3.57,0.31
1.97,0.31
3.62,0.31
1.76,0.32
7.16,0.32
2.16,0.32
25.57,0.32
40.26,0.33
2.60,0.33
1.83,0.33
15.31,0.33
1.68,0.34
2.76,0.34
2.19,0.34
3.61,0.34
9.51,0.35
4.43,0.35
5.59,0.35
2.38,0.36
4.76,0.36
2.20,0.37
2.07,0.37
3.37,0.37
4.70,0.37
4.10,0.37
2.15,0.37
3.02,0.38
3.07,0.38
5.33,0.38
1.84,0.38
3.06,0.38
3.79,0.39
45.54,0.39
13.07,0.39
2.32,0.39
2.27,0.39
2.84,0.39
7.99,0.40
4.70,0.40
2.15,0.40
8.11,0.40
2.34,0.40
2.03,0.40
2.54,0.40
2.23,0.40
5.62,0.41
4.87,0.41
1.96,0.41
3.73,0.41
2.93,0.41
2.93,0.41
2.40,0.41
2.63,0.42
7.22,0.42
2.40,0.42
2.91,0.42
3.46,0.42
2.34,0.42
3.37,0.43
6.40,0.43
3.46,0.43
5.21,0.43
2.33,0.43
2.22,0.43
2.97,0.43
3.69,0.43
2.44,0.43
3.45,0.44
2.55,0.44
3.74,0.44
2.52,0.44
3.02,0.45
6.45,0.45
2.30,0.45
2.32,0.45
43.24,0.45
4.51,0.45
2.32,0.45
11.39,0.45
10.33,0.45
2.51,0.45
2.73,0.45
2.25,0.45
3.55,0.46
10.14,0.46
4.56,0.46
2.82,0.46
8.32,0.46
2.04,0.46
3.49,0.46
2.61,0.46
2.72,0.46
2.87,0.46
4.12,0.47
2.47,0.47
2.88,0.47
2.28,0.47
2.48,0.47
3.76,0.47
2.23,0.47
2.31,0.47
3.01,0.48
6.99,0.48
2.69,0.48
2.58,0.48
4.96,0.48
3.06,0.48
12.15,0.48
2.65,0.48
2.65,0.48
3.16,0.49
3.02,0.49
2.31,0.49
2.46,0.49
4.25,0.49
2.52,0.49
3.02,0.49
3.33,0.49
2.94,0.49
3.90,0.49
2.24,0.49
2.55,0.49
4.22,0.49
2.63,0.49
3.10,0.50
2.67,0.50
8.22,0.50
9.68,0.50
43.94,0.50
7.40,0.50
3.32,0.50
3.16,0.50
4.34,0.50
2.66,0.50
2.87,0.50
3.06,0.51
3.40,0.51
2.58,0.51
4.41,0.51
2.71,0.51
3.89,0.51
3.37,0.51
2.85,0.51
2.56,0.52
25.68,0.52
3.89,0.52
2.43,0.52
20.93,0.52
2.71,0.52
4.18,0.52
2.88,0.52
3.75,0.52
2.70,0.52
5.79,0.53
27.68,0.53
11.19,0.53
3.14,0.53
2.84,0.53
6.11,0.53
3.00,0.53
3.00,0.53
2.45,0.53
3.15,0.53
2.82,0.53
3.44,0.53
3.41,0.53
4.87,0.53
2.85,0.53
2.88,0.53
3.95,0.54
2.33,0.54
2.63,0.54
4.12,0.54
4.14,0.54
2.97,0.54
3.18,0.54
3.94,0.54
2.93,0.54
4.21,0.54
6.42,0.54
4.76,0.54
3.26,0.54
3.34,0.54
2.82,0.54
3.21,0.54
3.94,0.54
5.28,0.55
5.00,0.55
2.36,0.55
3.06,0.55
3.48,0.55
4.40,0.55
13.78,0.55
3.07,0.55
2.72,0.55
3.10,0.55
3.22,0.55
2.58,0.55
4.78,0.55
3.42,0.55
4.93,0.55
3.46,0.55
2.83,0.55
4.98,0.55
3.19,0.55
3.38,0.55
5.42,0.56
2.63,0.56
3.50,0.56
5.95,0.56
2.98,0.56
3.42,0.56
4.69,0.56
3.72,0.56
3.40,0.56
2.95,0.56
9.13,0.56
7.06,0.56
6.60,0.56
3.54,0.56
47.28,0.56
4.07,0.57
4.01,0.57
3.27,0.57
3.42,0.57
4.04,0.57
54.96,0.57
2.75,0.57
5.22,0.57
4.70,0.57
14.00,0.57
4.25,0.57
3.43,0.57
3.18,0.57
3.26,0.57
4.71,0.57
7.30,0.57
4.72,0.58
2.98,0.58
3.13,0.58
4.36,0.58
2.58,0.58
2.89,0.58
2.87,0.58
4.70,0.58
2.96,0.58
11.08,0.58
3.08,0.58
2.92,0.58
3.29,0.58
3.16,0.58
6.76,0.59
4.82,0.59
2.95,0.59
3.88,0.59
2.97,0.59
25.48,0.59
4.73,0.59
2.87,0.59
3.48,0.59
3.12,0.59
3.02,0.59
3.88,0.59
5.71,0.59
3.26,0.59
3.37,0.59
2.75,0.59
4.26,0.59
3.09,0.59
38.04,0.60
3.60,0.60
8.39,0.60
5.34,0.60
3.23,0.60
3.12,0.60
3.61,0.60
2.92,0.60
3.89,0.60
5.23,0.60
3.74,0.60
3.55,0.60
5.42,0.60
2.99,0.60
3.22,0.60
3.02,0.60
7.06,0.60
2.91,0.60
3.83,0.60
3.05,0.60
3.24,0.60
2.86,0.60
4.37,0.60
3.85,0.61
3.38,0.61
2.67,0.61
3.19,0.61
7.30,0.61
3.36,0.61
3.05,0.61
3.01,0.61
3.84,0.61
3.10,0.61
3.06,0.61
3.64,0.61
3.94,0.61
4.48,0.61
20.34,0.61
6.16,0.61
3.31,0.61
3.50,0.61
3.75,0.61
9.50,0.61
3.31,0.61
4.95,0.62
4.23,0.62
3.48,0.62
3.59,0.62
5.71,0.62
3.55,0.62
3.17,0.62
3.32,0.62
4.19,0.62
3.77,0.62
3.83,0.62
7.22,0.62
4.01,0.62
3.13,0.62
3.32,0.62
8.89,0.62
3.01,0.62
3.32,0.62
7.69,0.62
3.14,0.62
19.60,0.62
3.95,0.62
3.99,0.62
3.57,0.62
34.94,0.62
4.59,0.63
5.11,0.63
3.99,0.63
3.52,0.63
4.10,0.63
3.80,0.63
3.55,0.63
7.19,0.63
3.75,0.63
3.57,0.63
4.49,0.63
21.55,0.63
3.78,0.63
3.42,0.63
24.21,0.63
4.06,0.63
3.48,0.63
3.25,0.63
4.70,0.63
4.10,0.63
3.59,0.63
7.30,0.63
3.77,0.63
3.17,0.63
3.68,0.63
3.37,0.63
3.57,0.63
8.38,0.63
8.15,0.63
15.90,0.64
6.57,0.64
3.29,0.64
2.89,0.64
3.08,0.64
3.41,0.64
3.73,0.64
2.97,0.64
3.34,0.64
3.18,0.64
3.48,0.64
4.90,0.64
5.08,0.64
4.02,0.64
3.68,0.64
44.38,0.64
4.22,0.64
7.06,0.64
6.59,0.64
3.99,0.65
3.44,0.65
3.29,0.65
3.80,0.65
6.69,0.65
5.85,0.65
4.70,0.65
10.54,0.65
10.57,0.65
6.99,0.65
4.45,0.65
3.23,0.65
3.75,0.65
4.39,0.65
68.48,0.65
4.03,0.65
6.60,0.66
3.87,0.66
3.69,0.66
3.72,0.66
19.77,0.66
3.30,0.66
4.89,0.66
3.92,0.66
3.86,0.66
3.51,0.66
7.01,0.66
17.80,0.66
3.78,0.66
3.47,0.66
7.18,0.66
3.69,0.66
3.77,0.66
5.10,0.66
4.12,0.66
3.13,0.66
6.03,0.66
3.64,0.66
3.18,0.66
3.46,0.67
3.23,0.67
3.87,0.67
3.45,0.67
3.45,0.67
3.01,0.67
3.23,0.67
3.28,0.67
3.34,0.67
3.00,0.67
3.51,0.67
3.23,0.67
3.71,0.67
4.01,0.67
3.03,0.68
4.08,0.68
3.46,0.68
3.44,0.68
3.16,0.68
3.76,0.68
3.69,0.68
3.01,0.68
6.89,0.68
3.08,0.68
100.63,0.68
3.54,0.68
6.35,0.68
3.14,0.68
3.20,0.68
4.23,0.68
3.55,0.68
7.06,0.68
3.70,0.69
6.90,0.69
3.46,0.69
3.41,0.69
3.43,0.69
3.97,0.69
3.42,0.69
4.14,0.69
3.38,0.69
4.02,0.69
4.19,0.69
3.47,0.69
3.57,0.69
3.45,0.69
3.81,0.69
5.67,0.69
3.51,0.70
21.96,0.70
3.54,0.70
3.74,0.70
32.38,0.70
3.84,0.70
3.43,0.70
3.23,0.70
6.44,0.70
3.48,0.70
4.05,0.70
3.54,0.70
3.84,0.70
3.89,0.71
4.13,0.71
3.62,0.71
4.08,0.71
5.46,0.71
3.87,0.71
3.62,0.71
4.19,0.71
10.95,0.71
3.65,0.71
3.50,0.71
5.55,0.71
31.59,0.71
7.46,0.71
4.73,0.71
20.36,0.71
3.72,0.71
4.17,0.71
12.14,0.71
6.18,0.71
9.72,0.72
4.15,0.72
6.89,0.72
8.74,0.72
3.66,0.72
6.98,0.73
4.39,0.73
59.25,0.73
5.09,0.73
5.33,0.73
2.91,0.73
4.89,0.73
7.23,0.73
6.61,0.73
3.38,0.73
4.17,0.73
12.73,0.73
7.65,0.73
3.47,0.73
3.58,0.74
4.23,0.74
4.05,0.74
60.75,0.74
4.85,0.74
4.16,0.74
20.53,0.74
3.76,0.74
4.84,0.74
4.37,0.74
5.81,0.74
3.37,0.75
3.56,0.75
4.34,0.75
3.61,0.75
7.18,0.75
28.27,0.75
3.93,0.75
4.00,0.75
6.76,0.75
4.04,0.75
3.83,0.75
3.21,0.76
3.91,0.76
4.61,0.76
5.53,0.76
7.45,0.76
4.27,0.76
3.73,0.76
4.65,0.76
4.61,0.76
5.91,0.77
4.22,0.77
3.78,0.77
6.31,0.77
3.60,0.77
3.83,0.77
4.15,0.77
18.19,0.77
5.79,0.77
7.10,0.77
4.08,0.77
3.83,0.77
4.33,0.77
3.42,0.77
2.06,0.77
5.70,0.77
8.01,0.77
3.92,0.78
4.12,0.78
4.89,0.78
3.67,0.78
4.35,0.78
4.10,0.78
3.93,0.78
8.70,0.78
42.97,0.78
4.89,0.78
4.42,0.78
3.71,0.78
8.84,0.78
3.78,0.78
3.62,0.78
4.24,0.78
5.51,0.78
4.20,0.78
5.13,0.78
7.31,0.78
4.10,0.79
3.81,0.79
4.11,0.79
6.05,0.79
3.70,0.79
3.83,0.79
17.40,0.79
3.71,0.79
4.40,0.79
3.94,0.79
6.19,0.79
3.66,0.79
4.15,0.79
4.34,0.79
3.78,0.79
25.74,0.79
4.26,0.79
6.69,0.80
11.80,0.80
4.01,0.80
4.49,0.80
4.28,0.80
67.79,0.80
4.71,0.80
10.09,0.80
4.43,0.81
5.70,0.81
4.32,0.81
6.75,0.81
3.58,0.81
7.77,0.81
3.88,0.81
5.61,0.81
4.02,0.81
6.23,0.81
4.15,0.81
4.09,0.81
4.50,0.81
4.03,0.81
10.72,0.81
3.41,0.81
4.20,0.81
18.93,0.81
4.24,0.82
4.43,0.82
4.49,0.82
4.39,0.82
4.02,0.82
4.22,0.82
58.11,0.82
17.91,0.82
3.81,0.82
6.84,0.82
3.92,0.82
5.55,0.82
4.13,0.82
4.48,0.82
4.27,0.82
13.07,0.83
5.66,0.83
3.95,0.83
4.44,0.83
4.59,0.83
3.83,0.83
96.76,0.83
25.40,0.83
5.23,0.83
4.97,0.83
4.18,0.83
5.03,0.83
36.67,0.83
5.30,0.83
4.24,0.83
4.73,0.83
18.26,0.83
6.03,0.83
7.95,0.84
4.55,0.84
5.77,0.84
5.07,0.84
4.33,0.84
5.15,0.84
5.87,0.84
14.64,0.84
3.73,0.84
4.67,0.84
4.28,0.84
4.01,0.84
5.44,0.84
6.93,0.84
5.86,0.84
3.45,0.84
3.74,0.84
5.21,0.84
4.36,0.84
47.73,0.85
5.57,0.85
4.59,0.85
4.82,0.85
5.11,0.85
4.70,0.85
4.11,0.85
12.43,0.85
5.02,0.85
4.66,0.85
5.96,0.86
3.75,0.86
4.52,0.86
4.05,0.86
16.25,0.86
4.72,0.86
5.03,0.86
4.63,0.86
4.02,0.86
8.97,0.86
3.81,0.86
18.27,0.86
4.21,0.86
4.47,0.86
4.50,0.86
4.08,0.86
11.70,0.86
5.45,0.86
4.44,0.87
4.85,0.87
4.11,0.87
4.99,0.87
5.37,0.87
16.21,0.87
4.11,0.87
4.47,0.87
4.19,0.87
5.68,0.87
4.79,0.87
3.65,0.87
4.84,0.88
4.65,0.88
8.42,0.88
5.40,0.88
4.40,0.88
35.84,0.88
10.53,0.88
4.63,0.88
4.43,0.88
4.15,0.88
25.14,0.88
5.66,0.88
9.79,0.88
4.56,0.88
3.42,0.88
4.29,0.89
4.47,0.89
4.52,0.89
6.18,0.89
18.22,0.89
5.23,0.89
23.54,0.89
4.58,0.89
5.80,0.90
7.83,0.90
4.85,0.90
4.48,0.90
5.33,0.90
11.07,0.90
4.53,0.90
4.58,0.90
3.84,0.90
4.95,0.90
4.98,0.90
4.79,0.90
7.87,0.90
4.76,0.90
3.96,0.90
4.93,0.90
4.57,0.91
4.03,0.91
6.05,0.91
5.84,0.91
4.15,0.91
5.36,0.91
4.29,0.91
4.79,0.91
13.75,0.91
5.49,0.91
19.26,0.91
4.97,0.92
4.38,0.92
4.40,0.92
25.77,0.92
4.22,0.92
5.12,0.92
12.45,0.92
21.82,0.92
7.77,0.92
4.13,0.92
4.83,0.92
14.14,0.92
5.35,0.92
3.91,0.92
4.67,0.93
4.42,0.93
4.79,0.93
5.88,0.93
4.55,0.93
10.92,0.93
4.76,0.93
7.41,0.94
5.09,0.94
6.05,0.94
4.01,0.94
14.61,0.94
3.96,0.94
4.91,0.94
8.17,0.94
4.31,0.94
5.14,0.94
2.77,0.95
5.25,0.95
4.24,0.95
7.76,0.95
5.12,0.95
22.87,0.95
5.21,0.95
5.34,0.95
15.07,0.95
4.69,0.95
8.49,0.95
6.97,0.96
4.65,0.96
17.56,0.96
4.45,0.96
5.19,0.96
5.02,0.96
4.54,0.96
14.58,0.96
5.78,0.96
4.83,0.96
5.78,0.96
10.50,0.96
4.50,0.96
4.86,0.97
5.31,0.97
5.97,0.97
13.40,0.97
4.21,0.97
13.88,0.97
5.90,0.97
4.24,0.97
4.85,0.97
4.71,0.97
4.70,0.97
5.87,0.97
5.46,0.97
12.08,0.97
4.57,0.97
7.55,0.97
6.02,0.98
7.74,0.98
5.00,0.98
4.98,0.98
4.82,0.98
5.35,0.98
4.84,0.98
4.06,0.98
14.95,0.98
26.16,0.98
4.97,0.98
5.20,0.99
7.25,0.99
4.50,0.99
8.48,0.99
4.72,0.99
6.43,0.99
12.12,0.99
4.27,0.99
5.00,0.99
7.85,0.99
4.90,1.00
5.14,1.00
5.50,1.00
5.00,1.00
6.18,1.00
8.75,1.00
5.55,1.00
4.54,1.00
4.98,1.00
6.28,1.01
6.37,1.01
14.18,1.01
5.67,1.01
12.27,1.01
5.22,1.01
4.69,1.01
4.46,1.01
4.38,1.01
11.99,1.01
5.23,1.02
5.52,1.02
5.39,1.02
7.80,1.02
